id,altura,fnac,fortuna,nacionalidad,nombre,peso
355,0,"May 23, 1968",1540000000.0,Ukrainian,0,0
356,1.7,"July 22, 1964",40000000.0,American,David Wayne Spade,0
357,0,"September 29, 1970",40000000.0,Canadian,Russell Dominic Peters,0
358,0,"July 27, 1957 ",40000000.0,American,"William Ray ""Bill"" Engvall, Jr.",0
359,0,"April 17, 1968 ",40000000.0,American,Adam McKay,0
360,1.68,"August 28, 1969",40000000.0,United States,"Thomas Jacob ""Jack"" Black",88.0
361,1.85,"November 13, 1967",35000000.0,American,James Christian Kimmel,0
362,1.79,"April 23, 1961",35000000.0,United States,George Lopez ,0
363,2.01,"November 24, 1974",35000000.0,English,Stephen James Merchant,0
364,0,"September 4, 1960 ",35000000.0,American,Damon Kyle Wayans Sr,0
365,0,"February 25, 1975",35000000.0,United States,Chelsea Joy Handler,0
366,1.88,"March 6, 1959",30000000.0,American,"Thomas Duane ""Tom"" Arnold ",0
367,1.83,"March 18, 1972",30000000.0,American,Dane Jeffrey Cook,0
368,1.88,"December 18, 1956 ",30000000.0,American,Ronald Dee White,0
369,1.73,"January 20, 1956 ",30000000.0,United States,William Maher Jr.,0
370,1.68,"May 8, 1926",30000000.0,American,"Donald Jay ""Don"" Rickles",0
371,0,"November 10, 1944",250000000.0,British,Sir Timothy Miles Bindon Rice,0
372,1.82,"March 30, 1945",250000000.0,British,Eric Patrick Clapton,0
373,1.9,"April 29, 1967",250000000.0,American,Percy Robert Miller,0
374,1.78,"January 10, 1945",235000000.0,British,Roderick David Stewart,0
375,1.78,"January 8, 1947",230000000.0,British,David Robert Haywood Jones,0
376,0,"December 3, 1948",220000000.0,British,John Michael Osbourne,0
377,0,"December 13, 1933",200000000.0,American,Lou Adler,0
378,1.75,"October 9, 1975",200000000.0,American,Sean Taro Ono Lennon,0
379,1.68,"December 26, 1963",200000000.0,Danish,Lars Ulrich,0
380,0,"August 3, 1926",200000000.0,American,Anthony Dominick Benedetto,79.0
381,1.73,"October 14, 1978",180000000.0,American,Usher Raymond IV,71.0
382,1.66,"May 9, 1949 ",180000000.0,American,William Martin Joel,63.0
383,1.85,"October 5, 1965",45000000.0,Canadian,Patrick Jacques Roy ,95.0
384,0,"April 21, 1980",45000000.0,Canadian,Vincent Lecavalier,0
385,1.78,"September 28, 1973",45000000.0,American,Brian Christopher Rafalski ,87.0
386,1.78,"February 1, 1968",44000000.0,Canadian,Mark Louis Recchi,86.0
387,0,"October 10, 1976",43000000.0,Canadian,Shane Albert Doan,103.0
388,0,"January 18, 1961",42000000.0,Canadian,Mark Douglas Messier ,95.0
389,1.88,"February 13, 1978",40000000.0,Finnish,Niklas Oskar Bäckström,89.0
390,1.85,"November 23, 1987",40000000.0,Swedish,Lans Nicklas Backstrom,95.0
391,1.88,"July 19, 1947",175000000.0,British,Brian Harold May,0
392,1.83,"June 25, 1963",175000000.0,British,Georgios Kyriacos Panayiotou,0
393,1.85,"August 20, 1948",170000000.0,British,Robert Anthony Plant,0
394,1.79,"July 26, 1949",170000000.0,British,Roger Meddows Taylor,0
395,1.8,"January 9, 1944",170000000.0,British,James Patrick Page,0
396,1.78,"July 9, 1964",150000000.0,American,Courtney Michelle Harrison,0
397,0,"May 12, 1928",150000000.0,American,Burt Freeman Bacharach,0
398,1.83,"February 19, 1948",140000000.0,British,Anthony Frank Iommi,0
399,0,"March 6, 1946 ",140000000.0,British,David Jon Gilmour,0
400,1.82,"January 20, 1952",125000000.0,American,Stanley Harvey Eisen,0
401,1.68,"October 16, 1962",115000000.0,American,Michael Peter Balzary,0
402,1.8,"August 19, 1951",115000000.0,British,John Richard Deacon,0
403,1.83,"September 26, 1980",40000000.0,Swedish,Henrik Lars Sedin,0
404,1.88,"December 13, 1969",40000000.0,Russian,Sergei Viktorovich Fyodorov,93.0
405,1.91,"February 15, 1972",40000000.0,Czech,0,49.5
406,0,"January 21, 1981 ",38600000.0,Canadian,Daniel James Heatley,100.0
407,1.93,"October 29, 1984",38000000.0,Canadian,Eric Craig Staal,93.0
408,0,"January 1, 1971",36000000.0,Czech-American,Robert Holik,110.0
409,0,"June 8, 1982",36000000.0,Canadian,Michael Anthony Cammalleri,84.0
410,0,"April 19, 1981",36000000.0,Czech,Martin Havlát ,98.0
411,0,"December 23, 1979",36000000.0,American,Scott Carlos Gomez,98.0
412,0,"February 2, 1975",36000000.0,Canadian,Todd Bertuzzi,104.0
413,1.91,"April 4, 1979",36000000.0,Canada,Roberto Luongo,98.0
414,0,"July 20, 1929",2400000000.0,American,Michael Ilitch Jr.,0
415,0,1972,2300000000.0,American,Michael G. Rubin,0
416,0,0,2200000000.0,Peru,Juan Fernando Belmont Anderson,0
417,0,0,2100000000.0,American,Hans Epprecht,0
418,0,"July 21, 1942",1900000000.0,Scottish,Sir Ian Clark Wood,0
419,1.8,"February 15, 1969",110000000.0,United States,Bryan Williams,93.0
420,1.85,"March 2, 1982",35000000.0,Swedish,Henrik Lundqvist,84.0
421,1.83,"July 3, 1970",35000000.0,Finnish,Teemu Ilmari Selänne,89.0
422,1.8,"March 20, 1948",35000000.0,Canada,Robert Gordon Orr,91.0
423,0,"December 27, 1985",34800000.0,Canadian,Paul Stastny,93.0
424,0,"July 30, 1973",33000000.0,Swedish,Markus Sten Näslund,88.0
425,0,"November 30, 1982",31000000.0,"Repentigny, Quebec",Jason John Pominville,84.0
426,0,"February 22, 1950",1800000000.0,Brazilian,Guilherme Peirao,0
427,0,"June 23, 1964",1500000000.0,South African,Stephen Bradley Saad,0
428,0,0,1500000000.0,American,Peggy Tsiang,0
429,0,"August 2, 1944",1400000000.0,Germany,Peter Unger,0
430,0,1950,1400000000.0,United States,Joseph W. Craft III,0
431,0,"March 2, 1943",1400000000.0,Chinese,Yeung Sau Shing,0
432,0,"December 18, 1971",1350000000.0,Russian,Andrey Vasilievich Filatov,0
433,0,1953,1300000000.0,American,Manoj Bhargava,0
434,0,1977,1300000000.0,Russian,Maxim Nogotkov,0
435,0,"May 16, 1957",1300000000.0,Moroccan,Anas Sefrioui,0
436,0,0,1300000000.0,American,Alan Gerry,0
437,0,0,1290000000.0,British,Polys Haji-Ioannou,0
438,0,"July 30, 1948",1200000000.0,Chile,Roberto Angelini Rossi,0
439,0,"August 2, 1960",1200000000.0,American,Todd R. Wagner,0
440,0,"August 14, 1948",1200000000.0,American,Frank L. VanderSloot,0
441,0,"March 4, 1983",1200000000.0,American,Andrew W. Houston,0
442,0,"May 9, 1985",54000000.0,American,Jake Edward Long,146.0
443,0,"January 22, 1982",53000000.0,American,Jason Raynard Peters,149.0
444,1.88,"November 11, 1986",52000000.0,American,Mark Travis John Sanchez,102.0
445,1.91,"August 31, 1983 ",50000000.0,American,"Larry Darnell Fitzgerald, Jr.",99.0
446,1.88,"February 17, 1936",50000000.0,United States,James Nathaniel Brown,105.0
447,1.75,"May 15, 1969",50000000.0,American,Emmitt James Smith,95.0
448,1.96,"January 14, 1983",50000000.0,American,Vincent Jackson,104.0
449,0,"February 11, 1942",1200000000.0,United States,"Armas Clifford Markkula, Jr.",0
450,0,"March 23, 1944",1100000000.0,United States,James H. Clark,0
451,0,0,1060000000.0,British,Clelia Haji-Ioannou,0
452,0,"February 21, 1962",1000000000.0,American,Randolph David Lerner,0
453,1.88,"June 22, 1971",48000000.0,American,Kurtis Eugene Warner,97.0
454,1.83,"November 17, 1978",48000000.0,American,Reginald Wayne,90.0
455,1.98,"December 4, 1984",48000000.0,American,Joseph Hayden Thomas,142.0
456,1.93,"March 23, 1984",48000000.0,American,Brandon Tyrone Marshall,104.0
457,1.96,"February 14, 1972 ",48000000.0,American,Drew Bledsoe,108.0
458,1.83,"December 16, 1982",48000000.0,American,Antrel Rocelious Rolle,94.0
459,1.85,"October 3, 1980",46000000.0,American,Anquan Kenmile Boldin,100.0
460,1.91,"January 31, 1984 ",46000000.0,American,Vernon Leonard Davis,113.0
461,1.96,"May 11, 1989",45000000.0,American,Cameron Jerrell Newton,111.0
462,1.96,"November 21, 1971",45000000.0,United States,Michael Anthony Strahan,125.0
463,1.85,"May 15, 1975",45000000.0,United States,Ray Anthony Lewis ,113.0
464,1.93,"May 17, 1982",45000000.0,American,Matthew Gus Brennan Cassel,104.0
465,0,"January 19, 1974",45000000.0,American,"Walter Jones, Jr.",147.0
466,1.78,"June 23, 1964",100000000.0,American,Joseph Hill Whedon,0
467,0,"December 1, 1956",100000000.0,American,Larry Clive Charles,0
468,0,"October 27, 1946",100000000.0,Slovak-Canadian,Ivan Reitman,0
469,1.74,"December 6, 1967",90000000.0,American,0,0
470,0,"June 14, 1957",90000000.0,American,Matthew Jay Roach,0
471,1.73,"February 5, 1943",90000000.0,American,Michael Kenneth Mann,0
472,1.85,"March 27, 1963 ",90000000.0,United States,Quentin Jerome Tarantino,0
473,0,"August 8, 1963",80000000.0,American,"Jonathan Charles ""Jon"" Turteltaub",0
474,1.76,"September 10, 1958 ",80000000.0,American,Chris Joseph Columbus,0
475,0,"April 14, 1989",45000000.0,American,Joseph Walter Haden III,88.0
476,1.93,"February 25, 1988",45000000.0,American,Gerald Keith McCoy,134.0
477,1.96,"July 19, 1988",45000000.0,American,Trent Williams,147.0
478,1.91,"June 28, 1960",45000000.0,United States,"John Albert Elway, Jr. ",98.0
479,1.88,"July 22, 1983",41000000.0,American,Steven Rashad Jackson ,109.0
480,0,"May 25, 1931",80000000.0,American,Irwin Winkler,0
481,1.83,"December 20, 1970",80000000.0,American,Todd Bunzl,0
482,0,1956,80000000.0,United States,Robert Andrew Ackerman,0
483,0,"August 15, 1972",75000000.0,American,Benjamin Géza Affleck-Boldt,0
484,1.73,"March 28, 1969",75000000.0,American,Brett Ratner ,0
485,0,0,72000000.0,American,0,0
486,1.78,"August 3, 1950",70000000.0,American,John David Landis,0
487,0,"February 8, 1974",70000000.0,French,Guillaume Emmanuel de Homem-Christo,0
488,1.88,"March 30, 1937",70000000.0,American,Henry Warren Beatty,0
489,1.78,"September 17, 1965",70000000.0,United States,Bryan Jay Singer,0
490,1.63,"November 17, 1942",70000000.0,American,Martin Charles Scorsese,0
491,0,"August 28, 1962",65000000.0,American,David Andrew Leo Fincher,0
492,0,"May 1, 1946",60000000.0,Chinese,John Woo Yu-Sen SBS,0
493,1.88,"March 6, 1947",60000000.0,American,Robert Reiner,0
494,0,"May 14, 1951 ",60000000.0,American,Robert Lee Zemeckis,0
495,0,"October 20, 1956",60000000.0,British,Daniel F. Boyle,0
496,0,"July 14, 1952",400000000.0,American,Joel Silver,0
497,1.96,"September 13, 1969",400000000.0,United States,"Emmitt Perry, Jr.",113.0
498,0,0,360000000.0,Indian,Kishore Arjan Lulla,0
499,1.85,"October 19, 1969",350000000.0,United States,Randolph Severn Parker III,0
500,1.7,"November 17, 1944",350000000.0,"Canada, United States",Lorne Lipowitz,0
501,0,"June 19, 1954 ",300000000.0,American,"Louis Jay ""Lou"" Pearlman ",0
502,0,"June 18, 1960",300000000.0,American and British,Barbara Dana Broccoli,0
503,0,"January 6, 1966",280000000.0,Indian,Allah-Rakha Rahman,0
504,0,"February 26, 1971 ",250000000.0,Swedish,Martin Karl Sandberg,0
505,0,"April 4, 1956",250000000.0,American,David Edward Kelley,0
506,0,"June 6, 1963 ",250000000.0,English,0,0
507,1.88,"August 8, 1935",250000000.0,United States,Donald Paul Bellisario,0
508,0,"November 11, 1948",225000000.0,British and Zambian,"Robert John ""Mutt"" Lange",0
509,0,"October 28, 1953",200000000.0,American,John Charles Barrett,0
510,0,"January 27, 1960",200000000.0,American,Philip Rosenthal,0
511,0,"June 2, 1945",200000000.0,American,Jon Peters,0
512,0,"November 14, 1916",175000000.0,American,Sherwood Charles Schwartz,0
513,0,0,165000000.0,United Kingdom,0,0
514,0,"December 26, 1968",150000000.0,American,William Van Duzer Lawrence IV,0
515,1.83,"March 19, 1952",150000000.0,American,0,0
516,0,"August 17, 1968",150000000.0,American,Anthony Edward Zuiker,0
517,0,"October 13, 1947",150000000.0,United States,"Avinoam ""Avi"" Lerner",0
518,0,"June 5, 1953",150000000.0,United States,Kathleen Kennedy ,0
519,0,29 December 1967,125000000.0,American,Lilly Wachowski - formerly Andrew Paul Wachowski ,0
520,1.79,21 June 1965,125000000.0,American,Laurence Wachowski ,0
521,0,"March 26, 1944",250000000.0,American,Diana Ernestine Earle Ross,0
522,0,"June 7, 1940",250000000.0,United Kingdom (Welsh),Thomas Jones Woodward,0
523,0,"November 1, 1967 ",245000000.0,Australia,Filippina Lydia Arena,0
524,0,"February 7, 1962 ",240000000.0,American,Troyal Garth Brooks,0
525,1.73," February 20, 1988",230000000.0,Barbados,Robyn Rihanna Fenty,57.0
526,1.68,"March 26, 1968",225000000.0,American,"Kenneth Arnold ""Kenny"" Chesney",0
527,1.85,"January 31, 1981",225000000.0,United States,Justin Randall Timberlake,75.0
528,0,"December 1, 1945",220000000.0,United States,Bette Midler,0
529,0,"February 2, 1977",220000000.0,Colombia,Shakira Isabel Mebarak Ripoll ,0
530,0,0,215000000.0,English- Irish,One Direction,0
531,0,"July 22, 1947",250000000.0,American,Donald Hugh Henley,0
532,0,"November 26, 1939",200000000.0,American,Anna Mae Bullock,0
533,0,"June 20, 1949",200000000.0,United States,"Lionel Brockman Richie, Jr.",0
534,1.85,13 February 1974,200000000.0,United Kingdom,Robert Peter Williams,0
535,1.63," December 2, 1981",200000000.0,American,Britney Jean Spears,47.7
536,1.73,"January 18, 1979",185000000.0,Taiwan,Jay Chou ,0
537,1.63," May 16, 1966",175000000.0,American,Janet Damita Jo Jackson,61.0
538,0,"April 10, 1959",170000000.0,American,Kenneth Brian Edmonds ,0
539,0,0,165000000.0,United Kingdom,0,0
540,1.65,"November 23, 1992",160000000.0,American,Destiny Hope Cyrus,47.0
541,1.56,18 December 1980,160000000.0,American,Christina María Aguilera,45.3
542,1.78,"September 9, 1975",150000000.0,Canadian,Michael Steven Bublé,0
543,1.65,"October 8, 1985",150000000.0,American,Peter Gene Hernandez,68.0
544,0,"January 24, 1987",70000000.0,Uruguayan,Luis Alberto Suárez Díaz,0
545,1.85,"June 23, 1972",70000000.0,French and Algerian,Zinedine Yazid Zidane,0
546,1.78,"February 10, 1986",70000000.0,Colombia,Radamel Falcao García Zárate,84.0
547,1.91,"May 13, 1983",70000000.0, Ivorian,Gnégnéri Yaya Touré,78.0
548,0,"April 28, 1988",63400000.0,Spanish,Juan Miguel Mata Garcia ,61.0
549,0,"April 22, 1987",62000000.0,Brazilian,David Luiz Moreira Marinho,84.0
550,0,"August 12, 1983",60300000.0,Dutch,Dirk Jan Klaas Huntelaar,78.0
551,0,"January 6, 1989",60000000.0,British,Andrew Thomas Carroll,76.0
552,1.79,"November 29, 1973",60000000.0,United Kingdom (Welsh),Ryan Joseph Giggs,68.0
553,0, 20 March 1984,60000000.0,Spain,Fernando José Torres Sanz,77.0
554,1.85,"May 30, 1980",60000000.0,United Kingdom,Steven George Gerrard,0
555,1.88,"August 17, 1977",60000000.0,French,Thierry Daniel Henry,77.0
556,1.7,"April 7, 1983",60000000.0,French,Franck Henry Pierre Ribéry,0
557,0,"April 1, 1976 ",56200000.0,Dutch,Clarence Clyde Seedorf,81.0
558,1.7,"January 8, 1986",55000000.0,Spanish,David Josué Jiménez Silva,65.76
559,1.88,"September 18, 1974",55000000.0,British,Sulzeer Jeremiah Campbell,0
560,0,"September 13, 1978",65000000.0,United States,Kasseem Dean,0
561,1.73,"November 2, 1974",60000000.0,American,"Cornell Iral Haynes, Jr.",0
562,0,"February 24, 1974",55000000.0,American,"Charles Edward ""Chad"" Hugo ",0
563,1.93,"September 8, 1987",55000000.0,American,Cameron Jibril Thomaz,0
564,1.75," September 25, 1980",55000000.0,American,"Clifford Joseph Harris, Jr.",77.0
565,1.78,"May 27, 1975",45000000.0,American,André Lauren Benjamin,0
566,0,31 October 1964,45000000.0,American,James Prince,0
567,0,1992,45000000.0,American,"Members: Bizzy Bone, Krayzie Bone, Layzie Bone, Flesh-N-Bone, Wi$h Bone",0
568,0,"May 31, 1964",45000000.0,American,Darryl Matthews McDaniels,0
569,1.83,"January 28, 1976",42000000.0,United States,William Leonard Roberts II,0
570,1.75,"February 1, 1975",40000000.0,United States,Antwan André Patton,71.0
571,1.8,"February 16, 1958",35000000.0,United States,Tracy Lauren Marrow,82.0
572,1.83,"March 13, 1972",35000000.0,American,"Lonnie Rashid Lynn, Jr.",0
573,0,"September 30, 1985",35000000.0,United States,Faheem Rasheed Najm,0
574,1.72," September 11, 1977",31000000.0,United States,Christopher Brian Bridges,59.0
575,1.75,"July 8, 1980",55000000.0,Irish,Robert David Johnson Keane,0
576,1.83,"August 13, 1970",52500000.0,English,"Alan Shearer, CBE, DL",78.91
577,1.8,"June 27, 1977",51700000.0,Spanish,Raúl González Blanco,0
578,0,"May 19, 1979",50000000.0,Italian,Andrea Pirlo,0
579,1.75,"December 3, 1981",50000000.0,Spanish,David Villa Sánchez,59.0
580,0,"November 4, 1972",50000000.0,Portuguese,Luis Filipe Madeira Caeiro Figo,75.0
581,1.8,"October 15, 1988",50000000.0,German,Mesut Ozil,70.0
582,1.73,"December 14, 1979",50000000.0,British,Michael James Owen,0
583,1.87,"December 7, 1980",50000000.0,United Kingdom,John George Terry,0
584,0, 1992-10-11,30000000.0,American,Belcalis Marlenis Almánzar,0
585,0,"September 16, 1979 ",30000000.0,United States,Tramar Lacel Dillard,0
586,1.75,"July 28, 1990",30000000.0,American,DeAndre Cortez Way,0
587,1.83," July 6, 1975",30000000.0,United States,Curtis James Jackson III,99.0
588,1.93,"November 29, 1979",25000000.0,American,Jayceon Terrell Taylor,0
589,0,"January 17, 1971",25000000.0,United States,Jonathan Smith,0
590,1.8,"February 11, 1977 ",23000000.0,American,Michael Kenji Shinoda,0
591,1.69,"May 30, 1974",22000000.0,American,Thomas DeCarlo Callaway,91.0
592,1.73,"November 8, 1971",21000000.0,American,Aaron Dontez Yates,0
593,1.68,"June 17, 1987 ",20000000.0,American,Kendrick Lamar Duckworth,0
594,1.89,"August 25, 1930",350000000.0,United Kingdom (Scottish),Thomas Sean Connery,0
595,1.73,"November 30, 1965",120000000.0,United States,Benjamin Edward Stiller,74.0
596,1.71,"April 16, 1965",110000000.0,United States,Martin Fitzgerald Lawrence,74.4
597,1.83,"August 14, 1945",110000000.0,American,Stephen Glenn Martin,0
598,1.93,"July 17, 1952",110000000.0,United States,David Michael Hasselhoff,0
599,1.66, July 23 1989,110000000.0,United Kingdom,Daniel Jacob Radcliffe,54.0
600,1.75,"September 27, 1961",105000000.0,Hong Kong,Andy Lau Tak-wah,65.0
601,1.8,"August 31, 1949",100000000.0,American,Richard Tiffany Gere,80.0
602,1.93,"May 17, 1956",100000000.0,American,"Robert Lane ""Bob"" Saget",87.0
603,0,0,100000000.0,United States,0,0
604,1.85,"January 5, 1975",100000000.0,American,Bradley Charles Cooper,82.0
605,1.77,"March 22, 1931",100000000.0,Canada,William Alan Shatner,0
606,1.89,"October 12, 1968",100000000.0,Australia,Hugh Michael Jackman,93.0
607,1.85,13 May 1986,100000000.0,United Kingdom,Robert Douglas Thomas Pattinson,76.0
608,1.65,7 November 1954,100000000.0,Indian,Kamal Haasan,0
609,1.88,"May 7, 1992",97000000.0,Canada,Alexander Ludwig ,0
610,1.75,"December 26, 1971",90000000.0,American,Jared Joseph Leto,0
611,1.83,"September 2, 1951",90000000.0,American,Thomas Mark Harmon,0
612,1.83,"September 15, 1946",85000000.0,American,Tommy Lee Jones,0
613,1.75," April 3, 1961",85000000.0,United States,Edward Regan Murphy,77.0
614,0,1960,2100000000.0,American,Mark Walter,0
615,0,13 August 1972,2100000000.0,American,Kevin A. Plank,0
616,0,0,2100000000.0,Indian,Ajay Kalsi,0
617,0,"January 1, 1936",2000000000.0,United  States,James D. Sinegal,0
618,0,"May 17, 1964",2000000000.0,Russian,Alexander Vladimirovich Frolov,0
619,0,"March 26, 1952",2000000000.0,Indonesian,Dato Sri Tahir,0
620,0,"September 28, 1933",1950000000.0,American,Bradley Wayne Hughes,0
621,0,"November 19, 1976",1900000000.0,United States,Jack Dorsey ,0
622,0,"May 29, 1927",1840000000.0,Canada,Jean Coutu,0
623,0,"September 3, 1944",1760000000.0,United States,H Ty Warner,0
624,0,0,1750000000.0,Brazil,Jayme Brasil Garfinkel,0
625,0,0,1700000000.0,Russian,Alexei Ananyev,0
626,0,0,1600000000.0,Netherlands,Ralf Sonnenberg,0
627,0,0,1600000000.0,American,Alfred James Clark,0
628,0,"August 20, 1946",1550000000.0,India,Nagavara Ramarao Narayana Murthy,0
629,1.85,"June 7, 1972",80000000.0,New Zealander,Karl-Heinz Urban,0
630,1.8,"June 13, 1953",80000000.0,American,Timothy Allen Dick ,82.0
631,1.85,"April 26, 1980 ",80000000.0,American,Channing Matthew Tatum ,83.0
632,1.73,"April 26, 1965",80000000.0,United States,Kevin George Knipfing,0
633,0,"March 18, 1938",80000000.0,India,Balbir Raj Prithviraj Kapoor,0
634,0,"December 30, 1953",1550000000.0,Italian,Diego Della Valle,0
635,0,"May 11, 1955",1500000000.0,United States,James L. Dolan,0
636,0,"July 10, 1947",1400000000.0,Austria,Reinold Geiger,0
637,0,December 1949,1400000000.0,United States,Neal L. Patterson,0
638,0,"November 24, 1941",1400000000.0,Canadian,Gerald W. Schwartz,0
639,0,"August 21, 1958",1400000000.0,American,Stephen McConnell,0
640,0,2 May 1974 ,1350000000.0,American,Jonathan Oringer,0
641,0,0,1350000000.0,American,Christopher Goldsbury,0
642,0,"December 23, 1935",1300000000.0,United States,Thomas Denny Sanford,0
643,0,0,1300000000.0,Hong Kong,Allan Wong,0
644,1.83,"February 6, 1940",70000000.0,American,Thomas John Brokaw,0
645,1.62,"July 20, 1964",66000000.0,American-Australian,Terri Raines Irwin,0
646,0,"September 15, 1960",65000000.0,United Kingdom,Lisa Vanderpump,0
647,0,23 April 1956,65000000.0,American,Lea Black,69.85
648,1.82,"February 20, 1949",60000000.0,American-Czech,Ivana Marie Zelníčková,0
649,1.73,"December 30, 1957",60000000.0,American,Matthew Todd Lauer ,0
650,0,16 August 1953,60000000.0,American,Kathie Lee Gifford,0
651,0,"November 5, 1955",60000000.0,American,Kristen Mary Houghton,0
652,0,"September 3, 1960",55000000.0,United States,David Ramsey,0
653,1.55,"January 7, 1957",55000000.0,United States,"Katherine Anne ""Katie"" Couric",48.0
654,0,"October 15, 1959",50000000.0,American,Emeril John Lagasse,0
655,0,0,50000000.0,0,0,0
656,0,0,50000000.0,United States,Carole DiFalco,0
657,1.68,"September 2, 1968",50000000.0,American,Camille Donatacci Grammer,0
658,0,"April 11, 1960",50000000.0,United Kingdom,Jeremy Charles Robert Clarkson,0
659,0,0,50000000.0,United States,Matthew Chasen,0
660,0,0,50000000.0,American,Gerald Dowden,0
661,0,"July 10, 1975",50000000.0,American,Andrew Boulton Firestone,0
662,1.7,"March 22, 1952",45000000.0,American,Robert Quinlan Costas ,0
663,1.75,"November 17, 1966 ",45000000.0,United States,Daisy Fuentes,0
664,1.54,0,45000000.0,British,Anne Josephine Robinson,0
665,1.54,"September 26, 1944 ",45000000.0,British,Anne Josephine Robinson,0
666,0,"January 11, 1976",45000000.0,United States,LaTasha Marbury,0
667,0,"February 2, 1948",44000000.0,American,Ina Rosenberg Garten,0
668,1.8,"February 22, 1962",40000000.0,Australia,Stephen Robert Irwin,0
669,1.85,"December 15, 1967",60000000.0,American,Maurice Samuel Vaughn,0
670,1.88,"August 17, 1971 ",60000000.0,Puerto Rican,Jorge Rafael Posada Villeta,96.0
671,0,"May 15, 1967",60000000.0,American,John Andrew Smoltz,0
672,1.96,"October 1, 1963 ",60000000.0,United States,Mark David McGwire,113.0
673,0,"October 10, 1984",60000000.0,American,Troy Trevor Tulowitzki,0
674,1.85,"February 10, 1976",60000000.0,American,William Lance Berkman,100.0
675,0,"March 16, 1981",58000000.0,American,"Curtis Granderson, Jr.",88.0
676,0,"August 30, 1981",57000000.0,American,Adam Parrish Wainwright,104.0
677,0,"August 24, 1960",55000000.0,American,"Calvin Edwin Ripken, Jr.",102.0
678,1.93,"March 14, 1965",55000000.0,American,James Kevin Brown,88.45
679,0,"May 20, 1979",55000000.0,American,Jayson Richard Gowan,224.62
680,0,"February 20, 1984",54000000.0,American,Brian Michael McCann,104.0
681,0,"September 23, 1984",54000000.0,American,Matthew Ryan Kemp,98.0
682,0,"September 9, 1983",53000000.0,American,Edwin Jackson,95.0
683,0,"July 13, 1982",51000000.0,Puerto Rican,Yadier Benjamin Molina,100.0
684,0,"September 10, 1983",50400000.0,Canadian,Joseph Daniel Votto,102.0
685,1.85,23 April 1977,50000000.0,Dutch and Curaçaoan,Andruw Rudolf Jones,103.0
686,1.8,"November 25, 1980",50000000.0,American,Nicholas Thompson Swisher ,95.0
687,1.93,"May 21, 1981",50000000.0,American,"Joshua Holt ""Josh"" Hamilton",0
688,1.9,"August 30, 1978",50000000.0,American,"Clifton Phifer ""Cliff"" Lee",86.0
689,0,"December 19, 1979",50000000.0,Dominican,Rafael Soriano,100.0
690,1.83,"September 24, 1964",50000000.0,Cuban-American,Rafael Palmeiro Corrales ,81.6
691,1.88,"May 8, 1982 ",50000000.0,United States-Mexico,Adrian Gonzalez,102.0
692,1.91,"October 1, 1984 ",50000000.0,American,Matthew Thomas Cain,107.0
693,1.78,"September 9, 1972",50000000.0,American,Michael William Hampton,84.0
694,229.0,"September 12, 1980",65000000.0,China,0,0
695,0,"July 6, 1980",65000000.0,Spanish,Pau Gasol Sáez,0
696,0,"September 28, 1982",64200000.0,American,Chukwuemeka Ndubuisi Okafor,116.0
697,0,"March 5, 1977",62700000.0,American,Walter Rober Szczerbiak,111.0
698,0,"April 29, 1983",61300000.0,American,David Lee,111.0
699,2.08,"March 16, 1989",60000000.0,United States,Blake Austin Griffin,114.0
700,2.01,"May 7, 1978 ",60000000.0,American,Shawn Dwayne Marion,103.0
701,1.98,"January 26, 1977",60000000.0,United States,Vincent Lamar Carter,100.0
702,2.08,"February 22, 1968",60000000.0,American,Jayson Williams,111.0
703,1.91,"April 13, 1979",60000000.0,American,Baron Walter Louis Davis,98.0
704,1.98,"November 5, 1974",60000000.0,American,Jerry Darnell Stackhouse,0
705,2.01,"June 29, 1981",60000000.0,American,Joe Marcus Johnson,109.0
706,0,"December 5, 1985",60000000.0,American,Joshua Smith,102.0
707,1.88,"May 13, 1978",60000000.0,American,"Michael ""Mike"" Bibby",88.0
708,2.06,"April 16, 1985 ",60000000.0,Sudanese/British,Luol Ajou Deng,100.0
709,0,"February 1, 1983",57600000.0,American,"Kevin Dallas Martin, Jr.",93.0
710,2.08,"November 6, 1979",56000000.0,United States,Lamar Joseph Odom,104.0
711,1.91,"June 26, 1984",55000000.0,American,Deron Michael Williams,95.0
712,0,"October 10, 1940",41600000000.0,American,Jacqueline Mars,0
713,0,0,33400000000.0,Italian,Maria Franca Fissolo Ferrero,0
714,0,"August 17, 1941",26100000000.0,Germany,Maria-Elisabeth Schaeffler,0
715,0,20 July 1981,23600000000.0,Chinese,Yang Huiyan,0
716,0,"November 6, 1963",21200000000.0,United States,Laurene Powell Jobs,0
717,0,"April 28, 1962",19000000000.0,Germany,Susanne Hanna Ursula Quandt,0
718,0,"June 30, 1954",17300000000.0,Dutch,Charlene de Carvalho-Heineken,0
719,0,"December 19, 1961 ",17200000000.0,United States,Abigail Pierrepont Johnson,0
720,0,"December 1, 1919",17000000000.0,American,Anne Beau Cox Chambers,0
721,0,9 February 1954,16200000000.0,Australian,"Georgina Hope ""Gina"" Rinehart",0
722,0,0,16000000000.0,Chile,Iris Fontbona,0
723,0,"January 12, 1939 ",15400000000.0,American,Elaine Tettemer Marshall,0
724,0,1924,12600000000.0,Swedish,Birgit Mayne,0
725,0,0,12000000000.0,Saudi Arabia,0,0
